round,client_id,train_loss,train_accuracy,train_recall,train_f1,train_precision,val_loss,val_accuracy,val_recall,val_f1,val_precision
16,1624963195177073546,0.40014761598245446,0.839017235056839,0.7760349689696104,0.7925970626016565,0.8153005536697814,0.2169188838268287,0.9306930693069307,0.9112729981636117,0.9232617297908422,0.937027564649048
17,9189040892612642589,0.37819811800458775,0.8541055718475073,0.7882186618375107,0.8077644966674628,0.8321502986331134,0.24433991007237255,0.900990099009901,0.9054261403264053,0.891157210065991,0.8781556856549887
17,1624963195177073546,0.3827762550597907,0.8445177851118445,0.7771519585059184,0.7944362879008074,0.8174269295385302,0.26023672008274223,0.9042904290429042,0.8993566866474944,0.9029706063050723,0.9101135190918472
18,1624963195177073546,0.3627117130414807,0.8558855885588559,0.7811133777305651,0.8089420090681303,0.8462980524384033,0.2079062834320786,0.9273927392739274,0.9105684718709215,0.9109460780283722,0.9171867527498804
18,9189040892612642589,0.36435502621992505,0.8570381231671554,0.7965212689869053,0.8126239587062895,0.8326198192175687,0.24832802212729707,0.8976897689768977,0.8494168917519455,0.8779973373006319,0.9123917137476459
19,9189040892612642589,0.37148328787337204,0.8636363636363636,0.803400580608599,0.8263149072197725,0.8544786393885754,0.24082253387314267,0.8877887788778878,0.889019219957984,0.8765810100734578,0.8652452619843923
19,1624963195177073546,0.40487792711555437,0.8496516318298496,0.7744971655454136,0.7988167550968351,0.831126521060241,0.22896770081531845,0.9108910891089109,0.8759052007899935,0.8942315606606411,0.919300480728397
20,1624963195177073546,0.37200453967611163,0.8584525119178584,0.7932629054086915,0.8119163603210948,0.8364472922096818,0.20562785531173608,0.9240924092409241,0.8944452144185348,0.9158420432584432,0.9464788732394367
20,9189040892612642589,0.3804152286372095,0.8504398826979472,0.7968044336198316,0.8142406822693208,0.8363752745105454,0.25307431842788664,0.8778877887788779,0.8638413708855891,0.85592802882995,0.8496472663139331
21,1624963195177073546,0.38964696366802853,0.8573524019068574,0.7915506646494316,0.8111343135709075,0.8367595076170019,0.20601855163879104,0.9075907590759076,0.8788821131168936,0.9000363617474417,0.9386753331214216
